order_id,store_id,order_date,product_id,prod_quantity,store_zone,ship_cost,delivery_date
10000045,24,11-06-2011,P100044,71,M3,80,17-06-2011
10000046,28,22-01-2012,P100045,966,M1,20,27-01-2012
10000047,33,15-10-2012,P100046,1846,M3,80,20-10-2012
10000048,33,09-02-2011,P100047,207,M3,80,14-02-2011
10000049,32,29-03-2011,P100048,4284,M3,80,05-04-2011
10000050,41,14-02-2010,P100049,3233,M3,80,16-02-2010
10000051,42,11-11-2011,P100050,4571,M1,20,13-11-2011
10000052,2,19-04-2010,P100051,2570,M3,80,25-04-2010
10000053,27,27-11-2011,P100052,4469,M1,20,29-11-2011
10000054,34,01-04-2012,P100053,4323,M1,20,05-04-2012
10000055,2,02-08-2010,P100054,4616,M3,80,05-08-2010
10000056,41,27-06-2010,P100055,4362,M3,80,30-06-2010
10000057,12,06-02-2010,P100056,4984,M1,20,10-02-2010
10000058,14,17-11-2010,P100057,854,M4,100,22-11-2010
10000059,24,15-11-2010,P100058,4752,M3,80,21-11-2010
10000060,43,07-10-2010,P100059,3256,M1,20,08-10-2010
10000061,13,23-05-2012,P100060,4894,M1,20,25-05-2012
10000062,33,31-08-2011,P100061,2255,M3,80,02-09-2011
10000063,9,16-07-2010,P100062,3247,M1,20,21-07-2010
10000064,27,13-10-2012,P100063,195,M1,20,16-10-2012
10000065,17,16-08-2010,P100064,4814,M1,20,22-08-2010
10000066,29,14-07-2011,P100065,383,M1,20,20-07-2011
10000067,4,27-02-2011,P100066,1459,M1,20,02-03-2011
10000068,30,24-02-2012,P100067,1196,M1,20,02-03-2012
10000069,30,08-09-2010,P100068,591,M1,20,10-09-2010
10000070,9,24-06-2011,P100069,1693,M1,20,01-07-2011
10000071,24,11-06-2011,P100070,2479,M3,80,17-06-2011
10000072,43,12-04-2011,P100071,4859,M1,20,13-04-2011
10000073,4,06-11-2011,P100072,3242,M1,20,12-11-2011
10000074,45,05-06-2012,P100073,1488,M1,20,08-06-2012
10000075,31,17-09-2011,P100074,3418,M1,20,24-09-2011
10000076,9,10-12-2011,P100075,2961,M1,20,14-12-2011
10000077,8,12-05-2012,P100076,2916,M1,20,19-05-2012
10000078,3,04-12-2011,P100077,2841,M2,50,08-12-2011
10000079,10,25-03-2011,P100078,3754,M2,50,29-03-2011
10000080,29,31-01-2012,P100079,2076,M1,20,07-02-2012
10000081,39,08-04-2011,P100080,3529,M1,20,10-04-2011
10000082,16,12-05-2012,P100081,137,M1,20,14-05-2012
10000083,22,07-02-2010,P100082,298,M2,50,08-02-2010
10000084,39,17-12-2010,P100083,3502,M1,20,19-12-2010
10000085,37,22-02-2010,P100084,432,M3,80,25-02-2010
10000086,2,06-07-2011,P100085,1304,M3,80,13-07-2011
10000087,25,29-09-2011,P100086,4234,M1,20,04-10-2011
10000088,44,28-06-2010,P100087,1224,M2,50,04-07-2010
10000089,7,04-08-2011,P100088,3983,M3,80,07-08-2011
10000090,20,26-01-2012,P100089,4530,M1,20,27-01-2012
10000091,18,08-07-2012,P100090,2561,M1,20,09-07-2012
10000092,27,11-06-2012,P100091,1099,M1,20,18-06-2012
10000093,34,02-04-2010,P100092,924,M1,20,07-04-2010
10000094,28,24-05-2010,P100093,565,M1,20,26-05-2010
10000095,7,20-10-2010,P100094,483,M3,80,26-10-2010
10000096,44,22-09-2011,P100095,1492,M2,50,25-09-2011
10000097,40,21-10-2010,P100096,3565,M4,100,27-10-2010
10000098,1,28-07-2011,P100097,4212,M4,100,30-07-2011
10000099,11,23-12-2010,P100098,1229,M2,50,30-12-2010
10000100,23,09-07-2010,P100099,185,M1,20,15-07-2010
10000101,44,31-03-2011,P100100,2204,M2,50,01-04-2011
10000102,11,16-08-2010,P100101,3799,M2,50,22-08-2010
10000103,40,05-11-2010,P100102,4842,M4,100,06-11-2010
10000104,22,11-09-2011,P100103,1232,M2,50,14-09-2011
10000105,39,09-07-2010,P100104,3110,M1,20,10-07-2010
10000106,32,19-02-2012,P100105,758,M3,80,20-02-2012
10000107,41,09-02-2011,P100106,456,M3,80,11-02-2011
10000108,44,09-10-2010,P100107,691,M2,50,14-10-2010
10000109,33,18-09-2011,P100108,4048,M3,80,25-09-2011
10000110,14,17-02-2010,P100109,580,M4,100,22-02-2010
10000111,42,12-09-2012,P100110,4167,M1,20,17-09-2012
10000112,16,13-05-2011,P100111,1500,M1,20,16-05-2011
10000113,32,20-07-2010,P100112,4028,M3,80,23-07-2010
10000114,7,16-09-2012,P100113,928,M3,80,20-09-2012
10000115,28,15-02-2011,P100114,1816,M1,20,21-02-2011
10000116,31,09-12-2011,P100115,4148,M1,20,13-12-2011
10000117,37,04-01-2011,P100116,4700,M3,80,11-01-2011
10000118,29,18-05-2012,P100117,3808,M1,20,24-05-2012
10000119,27,21-06-2011,P100118,2127,M1,20,27-06-2011
10000120,45,23-02-2012,P100119,955,M1,20,24-02-2012
10000121,45,13-03-2011,P100120,804,M1,20,14-03-2011
10000122,23,06-04-2010,P100121,172,M1,20,11-04-2010
10000123,10,12-11-2011,P100122,3696,M2,50,14-11-2011
10000124,29,04-07-2010,P100123,4730,M1,20,07-07-2010
10000125,15,11-09-2010,P100124,2246,M1,20,17-09-2010
10000126,41,28-11-2010,P100125,1915,M3,80,29-11-2010
10000127,13,12-08-2010,P100126,923,M1,20,15-08-2010
10000128,4,16-08-2011,P100127,3005,M1,20,17-08-2011
10000129,1,13-02-2010,P100128,152,M4,100,15-02-2010
10000130,34,27-06-2011,P100129,1563,M1,20,03-07-2011
10000131,44,14-01-2011,P100130,2131,M2,50,19-01-2011
10000132,45,11-06-2012,P100131,1947,M1,20,12-06-2012
10000133,15,05-07-2010,P100132,699,M1,20,09-07-2010
10000134,18,07-05-2010,P100133,1580,M1,20,11-05-2010
10000135,12,26-12-2010,P100134,617,M1,20,01-01-2011
10000136,23,15-08-2012,P100135,2789,M1,20,22-08-2012
10000137,10,29-07-2011,P100136,3729,M2,50,01-08-2011
10000138,20,05-05-2012,P100137,3083,M1,20,07-05-2012
10000139,9,24-07-2012,P100138,1606,M1,20,28-07-2012
10000140,37,15-02-2010,P100139,1025,M3,80,21-02-2010
10000141,1,22-01-2011,P100140,2337,M4,100,26-01-2011
10000142,44,29-04-2010,P100141,4069,M2,50,02-05-2010
10000143,37,13-07-2012,P100142,1181,M3,80,20-07-2012
10000144,28,24-02-2011,P100143,2650,M1,20,03-03-2011
10000145,3,29-08-2010,P100144,3495,M2,50,30-08-2010
10000146,20,26-11-2010,P100145,4098,M1,20,27-11-2010
10000147,24,13-03-2011,P100146,2406,M3,80,20-03-2011
10000148,18,30-09-2011,P100147,701,M1,20,01-10-2011
10000149,34,20-08-2012,P100148,4383,M1,20,21-08-2012
10000150,29,06-07-2012,P100149,1387,M1,20,10-07-2012
10000151,4,24-04-2010,P100150,4649,M1,20,26-04-2010
10000152,36,14-08-2012,P100151,659,M1,20,17-08-2012
10000153,45,23-07-2010,P100152,4299,M1,20,25-07-2010
10000154,7,25-10-2011,P100153,2109,M3,80,28-10-2011
10000155,8,16-10-2012,P100154,3551,M1,20,23-10-2012
10000156,33,15-11-2011,P100155,2569,M3,80,22-11-2011
10000157,24,06-09-2012,P100156,3001,M3,80,08-09-2012
10000158,37,29-03-2010,P100157,4954,M3,80,02-04-2010
10000159,39,25-02-2011,P100158,2678,M1,20,28-02-2011
10000160,24,17-05-2011,P100159,2981,M3,80,24-05-2011
10000161,6,17-10-2012,P100160,1435,M3,80,24-10-2012
10000162,10,19-04-2011,P100161,161,M2,50,24-04-2011
10000163,7,28-02-2012,P100162,1325,M3,80,04-03-2012
10000164,30,08-02-2012,P100163,3547,M1,20,09-02-2012
10000165,24,10-09-2010,P100164,2336,M3,80,12-09-2010
10000166,25,09-10-2011,P100165,4028,M1,20,11-10-2011
10000167,30,19-07-2010,P100166,3459,M1,20,24-07-2010
10000168,22,12-01-2012,P100167,2393,M2,50,19-01-2012
10000169,36,15-03-2011,P100168,2664,M1,20,21-03-2011
10000170,13,26-03-2010,P100169,1022,M1,20,30-03-2010
10000171,7,13-06-2011,P100170,4488,M3,80,20-06-2011
10000172,26,29-07-2012,P100171,4700,M1,20,02-08-2012
10000173,16,01-05-2010,P100172,2192,M1,20,03-05-2010
10000174,4,12-01-2011,P100173,79,M1,20,13-01-2011
10000175,6,07-06-2011,P100174,1087,M3,80,09-06-2011
10000176,28,14-02-2011,P100175,2213,M1,20,17-02-2011
10000177,44,25-02-2010,P100176,1180,M2,50,04-03-2010
10000178,35,02-05-2010,P100177,2661,M1,20,06-05-2010
10000179,31,13-05-2010,P100178,2823,M1,20,19-05-2010
10000180,32,27-02-2010,P100179,3621,M3,80,05-03-2010
10000181,23,10-09-2010,P100180,412,M1,20,13-09-2010
10000182,37,10-05-2012,P100181,4023,M3,80,14-05-2012
10000183,2,27-09-2011,P100182,1178,M3,80,28-09-2011
10000184,21,20-09-2010,P100183,4718,M2,50,22-09-2010
10000185,31,13-09-2011,P100184,820,M1,20,17-09-2011
10000186,27,11-07-2012,P100185,4004,M1,20,13-07-2012
10000187,31,03-02-2011,P100186,2849,M1,20,06-02-2011
10000188,34,13-11-2010,P100187,1755,M1,20,18-11-2010
10000189,11,05-03-2011,P100188,2485,M2,50,06-03-2011
10000190,44,04-10-2011,P100189,1379,M2,50,11-10-2011
10000191,28,29-01-2011,P100190,4898,M1,20,05-02-2011
10000192,21,15-10-2012,P100191,4278,M2,50,17-10-2012
10000193,10,16-03-2010,P100192,3504,M2,50,23-03-2010
10000194,19,09-05-2011,P100193,3185,M1,20,13-05-2011
10000195,43,17-06-2010,P100194,2406,M1,20,22-06-2010
10000196,16,27-11-2011,P100195,3040,M1,20,02-12-2011
10000197,22,27-02-2012,P100196,2411,M2,50,01-03-2012
10000198,17,03-12-2011,P100197,4278,M1,20,10-12-2011
10000199,24,13-05-2012,P100198,4074,M3,80,19-05-2012
10000200,42,12-04-2011,P100199,870,M1,20,18-04-2011
10000201,7,26-05-2010,P100200,2798,M3,80,29-05-2010
10000202,39,19-08-2010,P100201,3660,M1,20,21-08-2010
10000203,10,29-04-2011,P100202,4361,M2,50,05-05-2011
10000204,28,15-06-2011,P100203,1771,M1,20,21-06-2011
10000205,7,08-02-2010,P100204,1394,M3,80,12-02-2010
10000206,9,01-12-2010,P100205,2044,M1,20,03-12-2010
10000207,29,14-04-2010,P100206,4686,M1,20,15-04-2010
10000208,1,20-12-2011,P100207,3894,M4,100,26-12-2011
10000209,38,11-10-2010,P100208,2143,M2,50,14-10-2010
10000210,18,03-08-2011,P100209,710,M1,20,05-08-2011
10000211,26,13-02-2011,P100210,2505,M1,20,16-02-2011
10000212,16,09-01-2012,P100211,2327,M1,20,15-01-2012
10000213,23,17-07-2012,P100212,3259,M1,20,21-07-2012
10000214,11,08-02-2010,P100213,1751,M2,50,12-02-2010
10000215,37,13-03-2012,P100214,806,M3,80,20-03-2012
10000216,39,02-01-2011,P100215,3737,M1,20,09-01-2011
10000217,15,13-07-2010,P100216,2885,M1,20,15-07-2010
10000218,8,05-11-2010,P100217,4084,M1,20,09-11-2010
10000219,27,05-02-2010,P100218,4008,M1,20,11-02-2010
10000220,15,08-08-2011,P100219,3498,M1,20,14-08-2011
10000221,30,25-09-2011,P100220,3366,M1,20,01-10-2011
10000222,26,08-07-2012,P100221,2859,M1,20,10-07-2012
10000223,17,19-09-2011,P100222,2297,M1,20,21-09-2011
10000224,45,28-05-2011,P100223,4463,M1,20,29-05-2011
10000225,21,15-05-2010,P100224,2216,M2,50,17-05-2010
10000226,7,10-07-2010,P100225,935,M3,80,15-07-2010
10000227,20,05-07-2010,P100226,2974,M1,20,09-07-2010
10000228,23,02-10-2010,P100227,883,M1,20,03-10-2010
10000229,3,28-09-2011,P100228,84,M2,50,01-10-2011
10000230,1,24-07-2010,P100229,94,M4,100,28-07-2010
10000231,16,10-02-2011,P100230,2414,M1,20,14-02-2011
10000232,18,10-03-2011,P100231,547,M1,20,14-03-2011
10000233,23,13-12-2010,P100232,2164,M1,20,19-12-2010
10000234,15,21-02-2010,P100233,754,M1,20,22-02-2010
10000235,27,30-11-2011,P100234,2414,M1,20,02-12-2011
10000236,4,30-03-2011,P100235,3649,M1,20,01-04-2011
10000237,23,30-04-2010,P100236,2654,M1,20,05-05-2010
10000238,32,23-02-2011,P100237,3178,M3,80,28-02-2011
10000239,40,10-11-2011,P100238,618,M4,100,13-11-2011
10000240,40,27-09-2012,P100239,3897,M4,100,03-10-2012
10000241,1,19-08-2010,P100240,1668,M4,100,24-08-2010
10000242,13,07-12-2010,P100241,483,M1,20,13-12-2010
10000243,45,31-01-2011,P100242,1165,M1,20,07-02-2011
10000244,6,22-02-2012,P100243,2102,M3,80,29-02-2012
10000245,6,22-04-2010,P100244,1587,M3,80,24-04-2010
10000246,44,04-02-2011,P100245,4972,M2,50,06-02-2011
10000247,40,20-04-2010,P100246,859,M4,100,22-04-2010
10000248,17,06-03-2011,P100247,3321,M1,20,13-03-2011
10000249,28,04-10-2012,P100248,4012,M1,20,08-10-2012
10000250,5,21-02-2012,P100249,4266,M2,50,22-02-2012
10000251,33,10-12-2011,P100250,3102,M3,80,14-12-2011
10000252,8,28-03-2012,P100251,3921,M1,20,03-04-2012
10000253,24,19-03-2010,P100252,4831,M3,80,24-03-2010
10000254,8,25-09-2011,P100253,1379,M1,20,01-10-2011
10000255,14,14-06-2010,P100254,222,M4,100,17-06-2010
10000256,16,08-06-2010,P100255,2645,M1,20,13-06-2010
10000257,36,09-11-2010,P100256,204,M1,20,16-11-2010
10000258,38,29-08-2011,P100257,4601,M2,50,03-09-2011
10000259,29,03-07-2012,P100258,4293,M1,20,04-07-2012
10000260,23,14-04-2011,P100259,4677,M1,20,19-04-2011
10000261,37,23-10-2010,P100260,3445,M3,80,29-10-2010
10000262,39,08-09-2010,P100261,1652,M1,20,09-09-2010
10000263,17,14-05-2012,P100262,3817,M1,20,20-05-2012
10000264,6,20-04-2010,P100263,1491,M3,80,26-04-2010
10000265,22,13-02-2012,P100264,2734,M2,50,18-02-2012
10000266,2,11-02-2010,P100265,4606,M3,80,16-02-2010
10000267,14,02-03-2010,P100266,426,M4,100,06-03-2010
10000268,20,30-03-2011,P100267,4692,M1,20,05-04-2011
10000269,32,10-06-2010,P100268,4153,M3,80,11-06-2010
10000270,27,04-06-2011,P100269,4931,M1,20,11-06-2011
10000271,41,11-05-2011,P100270,94,M3,80,16-05-2011
10000272,19,24-04-2011,P100271,2346,M1,20,30-04-2011
10000273,4,29-03-2011,P100272,181,M1,20,01-04-2011
10000274,32,09-05-2010,P100273,3191,M3,80,10-05-2010
10000275,24,18-08-2012,P100274,2302,M3,80,20-08-2012
10000276,38,02-10-2012,P100275,166,M2,50,06-10-2012
10000277,29,16-04-2011,P100276,3088,M1,20,17-04-2011
10000278,28,02-08-2010,P100277,1427,M1,20,07-08-2010
10000279,26,06-08-2010,P100278,163,M1,20,12-08-2010
10000280,8,23-12-2011,P100279,4654,M1,20,27-12-2011
10000281,30,18-01-2011,P100280,258,M1,20,24-01-2011
10000282,37,15-06-2012,P100281,2160,M3,80,19-06-2012
10000283,14,11-08-2012,P100282,1023,M4,100,17-08-2012
10000284,7,12-04-2011,P100283,1170,M3,80,16-04-2011
10000285,41,09-03-2011,P100284,393,M3,80,16-03-2011
10000286,3,10-03-2012,P100285,4336,M2,50,16-03-2012
10000287,18,17-01-2012,P100286,1287,M1,20,19-01-2012
10000288,8,11-09-2011,P100287,1868,M1,20,18-09-2011
10000289,24,16-06-2011,P100288,716,M3,80,18-06-2011
10000290,34,29-09-2011,P100289,4503,M1,20,04-10-2011
10000291,16,09-08-2010,P100290,4789,M1,20,16-08-2010
10000292,33,27-05-2012,P100291,1133,M3,80,01-06-2012
10000293,43,02-07-2011,P100292,1497,M1,20,08-07-2011
10000294,26,30-10-2011,P100293,3540,M1,20,04-11-2011
10000295,31,20-01-2012,P100294,1534,M1,20,22-01-2012
10000296,29,07-02-2012,P100295,3348,M1,20,12-02-2012
10000297,40,31-05-2011,P100296,3528,M4,100,02-06-2011
10000298,39,02-12-2011,P100297,2190,M1,20,07-12-2011
10000299,8,23-04-2010,P100298,4913,M1,20,27-04-2010
10000300,23,18-09-2010,P100299,4799,M1,20,24-09-2010
10000301,25,11-06-2011,P100300,1084,M1,20,14-06-2011
10000302,16,28-05-2011,P100301,4968,M1,20,03-06-2011
10000303,32,06-04-2012,P100302,1981,M3,80,10-04-2012
10000304,16,23-07-2011,P100303,2969,M1,20,26-07-2011
10000305,2,08-12-2010,P100304,4834,M3,80,10-12-2010
10000306,23,02-09-2011,P100305,155,M1,20,09-09-2011
10000307,4,15-10-2011,P100306,4854,M1,20,20-10-2011
10000308,44,13-07-2011,P100307,4707,M2,50,16-07-2011
10000309,25,28-03-2012,P100308,3228,M1,20,31-03-2012
10000310,31,09-04-2011,P100309,2860,M1,20,11-04-2011
10000311,18,17-07-2012,P100310,2717,M1,20,18-07-2012
10000312,4,09-03-2010,P100311,4741,M1,20,10-03-2010
10000313,8,30-08-2012,P100312,4239,M1,20,05-09-2012
10000314,43,11-07-2011,P100313,1289,M1,20,18-07-2011
10000315,30,26-09-2011,P100314,1754,M1,20,03-10-2011
10000316,37,14-08-2010,P100315,522,M3,80,15-08-2010
10000317,19,02-09-2011,P100316,850,M1,20,08-09-2011
10000318,43,01-08-2011,P100317,2398,M1,20,02-08-2011
10000319,35,04-08-2011,P100318,3092,M1,20,08-08-2011
10000320,19,23-04-2011,P100319,4266,M1,20,29-04-2011
10000321,24,08-07-2012,P100320,3126,M3,80,09-07-2012
10000322,43,25-10-2011,P100321,4918,M1,20,30-10-2011
10000323,24,28-12-2010,P100322,1439,M3,80,04-01-2011
10000324,12,30-07-2011,P100323,2914,M1,20,31-07-2011
10000325,3,25-08-2012,P100324,353,M2,50,31-08-2012
10000326,14,04-08-2012,P100325,4610,M4,100,06-08-2012
10000327,39,11-08-2010,P100326,1492,M1,20,13-08-2010
10000328,5,03-08-2011,P100327,4534,M2,50,07-08-2011
10000329,39,03-04-2010,P100328,1831,M1,20,10-04-2010
10000330,14,04-01-2011,P100329,3122,M4,100,08-01-2011
10000331,2,20-10-2012,P100330,2690,M3,80,25-10-2012
10000332,30,22-03-2010,P100331,1201,M1,20,26-03-2010
10000333,22,01-11-2011,P100332,2909,M2,50,07-11-2011
10000334,25,26-06-2011,P100333,320,M1,20,01-07-2011
10000335,24,01-10-2012,P100334,568,M3,80,06-10-2012
10000336,5,17-04-2011,P100335,2612,M2,50,23-04-2011
10000337,18,12-06-2012,P100336,3822,M1,20,17-06-2012
10000338,40,09-02-2011,P100337,892,M4,100,10-02-2011
10000339,24,14-04-2010,P100338,3893,M3,80,21-04-2010
10000340,1,08-05-2011,P100339,4126,M4,100,12-05-2011
10000341,5,20-09-2012,P100340,4142,M2,50,25-09-2012
10000342,42,19-05-2010,P100341,2619,M1,20,24-05-2010
10000343,27,04-04-2012,P100342,4633,M1,20,05-04-2012
10000344,20,02-06-2012,P100343,1537,M1,20,09-06-2012
10000345,6,22-03-2012,P100344,4766,M3,80,25-03-2012
10000346,41,23-06-2012,P100345,2427,M3,80,24-06-2012
10000347,43,18-01-2012,P100346,2811,M1,20,25-01-2012
10000348,19,05-10-2012,P100347,1403,M1,20,08-10-2012
10000349,36,29-07-2011,P100348,1563,M1,20,30-07-2011
10000350,36,17-07-2012,P100349,3581,M1,20,24-07-2012
10000351,4,29-03-2010,P100350,1632,M1,20,30-03-2010
10000352,25,22-09-2011,P100351,550,M1,20,28-09-2011
10000353,32,04-01-2012,P100352,1374,M3,80,06-01-2012
10000354,7,17-08-2010,P100353,522,M3,80,18-08-2010
10000355,8,23-07-2011,P100354,780,M1,20,25-07-2011
10000356,43,21-04-2012,P100355,1277,M1,20,24-04-2012
10000357,11,21-05-2011,P100356,3216,M2,50,28-05-2011
10000358,7,20-05-2011,P100357,1143,M3,80,27-05-2011
10000359,7,10-10-2011,P100358,1748,M3,80,15-10-2011
10000360,8,08-03-2012,P100359,2762,M1,20,10-03-2012
10000361,10,14-02-2011,P100360,1513,M2,50,16-02-2011
10000362,25,30-08-2012,P100361,3897,M1,20,02-09-2012
10000363,4,10-03-2011,P100362,2879,M1,20,11-03-2011
10000364,39,28-04-2010,P100363,1093,M1,20,30-04-2010
10000365,5,21-12-2011,P100364,1212,M2,50,24-12-2011
10000366,27,23-03-2012,P100365,2764,M1,20,27-03-2012
10000367,44,03-07-2012,P100366,4493,M2,50,04-07-2012
10000368,8,02-09-2011,P100367,4373,M1,20,07-09-2011
10000369,19,03-03-2011,P100368,250,M1,20,04-03-2011
10000370,31,18-04-2012,P100369,4463,M1,20,20-04-2012
10000371,37,16-08-2010,P100370,2842,M3,80,20-08-2010
10000372,22,06-12-2010,P100371,3654,M2,50,12-12-2010
10000373,30,23-04-2012,P100372,3254,M1,20,26-04-2012
10000374,42,18-07-2011,P100373,2979,M1,20,22-07-2011
10000375,1,06-10-2011,P100374,4865,M4,100,07-10-2011
10000376,9,27-12-2011,P100375,3812,M1,20,29-12-2011
10000377,38,14-05-2010,P100376,1749,M2,50,15-05-2010
10000378,33,15-06-2012,P100377,535,M3,80,19-06-2012
10000379,22,26-01-2011,P100378,2847,M2,50,02-02-2011
10000380,41,18-10-2011,P100379,96,M3,80,23-10-2011
10000381,31,17-11-2010,P100380,3788,M1,20,24-11-2010
10000382,45,02-06-2011,P100381,3589,M1,20,08-06-2011
10000383,45,18-01-2011,P100382,482,M1,20,22-01-2011
10000384,16,19-05-2011,P100383,74,M1,20,25-05-2011
10000385,27,02-10-2012,P100384,1993,M1,20,09-10-2012
10000386,22,20-07-2011,P100385,3037,M2,50,23-07-2011
10000387,15,26-04-2010,P100386,3432,M1,20,01-05-2010
10000388,25,10-08-2011,P100387,4154,M1,20,17-08-2011
10000389,39,13-12-2011,P100388,4457,M1,20,20-12-2011
10000390,12,15-04-2012,P100389,3829,M1,20,20-04-2012
10000391,5,21-02-2012,P100390,3151,M2,50,26-02-2012
10000392,39,28-09-2010,P100391,75,M1,20,01-10-2010
10000393,25,25-09-2011,P100392,1330,M1,20,28-09-2011
10000394,34,31-01-2012,P100393,4548,M1,20,03-02-2012
10000395,14,20-07-2012,P100394,2551,M4,100,26-07-2012
10000396,36,21-09-2012,P100395,1277,M1,20,23-09-2012
10000397,9,09-02-2012,P100396,3434,M1,20,12-02-2012
10000398,35,27-05-2010,P100397,4044,M1,20,03-06-2010
10000399,1,30-05-2010,P100398,509,M4,100,02-06-2010
10000400,39,24-12-2010,P100399,455,M1,20,30-12-2010
10000401,19,17-01-2012,P100400,2818,M1,20,19-01-2012
10000402,30,13-06-2012,P100401,4559,M1,20,19-06-2012
10000403,25,07-07-2011,P100402,517,M1,20,08-07-2011
10000404,24,29-11-2011,P100403,4199,M3,80,01-12-2011
10000405,14,03-07-2010,P100404,4252,M4,100,04-07-2010
10000406,40,26-06-2010,P100405,3051,M4,100,27-06-2010
10000407,27,20-08-2012,P100406,3494,M1,20,21-08-2012
10000408,1,13-05-2011,P100407,3554,M4,100,16-05-2011
10000409,38,01-05-2010,P100408,2401,M2,50,05-05-2010
10000410,1,27-09-2011,P100409,3114,M4,100,04-10-2011
10000411,15,17-04-2010,P100410,3466,M1,20,22-04-2010
10000412,9,13-07-2010,P100411,2733,M1,20,17-07-2010
10000413,3,09-09-2010,P100412,1505,M2,50,11-09-2010
10000414,16,04-01-2012,P100413,4706,M1,20,06-01-2012
10000415,25,04-11-2011,P100414,1929,M1,20,10-11-2011
10000416,8,28-02-2010,P100415,4857,M1,20,06-03-2010
10000417,38,17-12-2011,P100416,3249,M2,50,21-12-2011
10000418,11,28-03-2010,P100417,1838,M2,50,01-04-2010
10000419,41,07-07-2011,P100418,299,M3,80,14-07-2011
10000420,32,15-08-2011,P100419,3183,M3,80,19-08-2011
10000421,17,28-09-2011,P100420,997,M1,20,29-09-2011
10000422,22,05-08-2011,P100421,1059,M2,50,11-08-2011
10000423,30,22-11-2011,P100422,974,M1,20,25-11-2011
10000424,18,13-05-2012,P100423,3220,M1,20,18-05-2012
10000425,2,30-09-2010,P100424,870,M3,80,04-10-2010
10000426,18,29-08-2012,P100425,1577,M1,20,01-09-2012
10000427,28,16-02-2012,P100426,2165,M1,20,21-02-2012
10000428,23,12-10-2010,P100427,4615,M1,20,15-10-2010
10000429,31,20-03-2011,P100428,4978,M1,20,23-03-2011
10000430,26,08-02-2010,P100429,4067,M1,20,09-02-2010
10000431,8,28-02-2010,P100430,3563,M1,20,03-03-2010
10000432,8,26-04-2011,P100431,3527,M1,20,03-05-2011
10000433,8,19-03-2012,P100432,2520,M1,20,22-03-2012
10000434,20,18-06-2011,P100433,1049,M1,20,24-06-2011
10000435,37,20-06-2011,P100434,4008,M3,80,21-06-2011
10000436,22,13-08-2012,P100435,583,M2,50,19-08-2012
10000437,26,05-03-2012,P100436,1219,M1,20,12-03-2012
